disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
Obessive-compulsive disorder,ocd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__past_dx,mh_p_ksads__ocd__past_dx == 1,high,,
Obessive-compulsive disorder,ocd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__pres_dx,mh_p_ksads__ocd__pres_dx == 1,high,,
Obessive-compulsive disorder,ocd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__ocd__past_dx | mh_p_ksads__ocd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Oppositional defiant disorder,odd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__odd__past_dx,mh_p_ksads__odd__past_dx == 1,high,,
Oppositional defiant disorder,odd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__odd__pres_dx,mh_p_ksads__odd__pres_dx == 1,high,,
Oppositional defiant disorder,odd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__odd__past_dx | mh_p_ksads__odd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, panic disorder",panic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__oth__past_dx,mh_p_ksads__panic__oth__past_dx == 1,low,,
"Other specified anxiety disorder, panic disorder",panic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__oth__pres_dx,mh_p_ksads__panic__oth__pres_dx == 1,low,,
"Other specified anxiety disorder, panic disorder",panic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__oth__past_dx | mh_p_ksads__panic__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Panic disorder,panic,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__partrem_dx,mh_p_ksads__panic__partrem_dx == 1,high,,
Panic disorder,panic,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__past_dx,mh_p_ksads__panic__past_dx == 1,high,,
Panic disorder,panic,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__pres_dx,mh_p_ksads__panic__pres_dx == 1,high,,
Panic disorder,panic,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__panic__partrem_dx | mh_p_ksads__panic__past_dx | mh_p_ksads__panic__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Specific phobia,phobia,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__phobia__past_dx,mh_p_ksads__phobia__past_dx == 1,high,,
Specific phobia,phobia,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__phobia__pres_dx,mh_p_ksads__phobia__pres_dx == 1,high,,
Specific phobia,phobia,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__phobia__past_dx | mh_p_ksads__phobia__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Associated psychotic symptoms,psych,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__psych__aps__past_dx,mh_p_ksads__psych__aps__past_dx == 1,low,,
