disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
"Anorexia nervosa, binge eating/purging subtype",ed,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__bingeprg__partrem_dx,mh_y_ksads__ed__an__bingeprg__partrem_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__bingeprg__past_dx,mh_y_ksads__ed__an__bingeprg__past_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__bingeprg__pres_dx,mh_y_ksads__ed__an__bingeprg__pres_dx == 1,high,,
"Anorexia nervosa, binge eating/purging subtype",ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__bingeprg__partrem_dx | mh_y_ksads__ed__an__bingeprg__past_dx | mh_y_ksads__ed__an__bingeprg__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__oth__past_dx,mh_y_ksads__ed__an__oth__past_dx == 1,low,,
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__oth__pres_dx,mh_y_ksads__ed__an__oth__pres_dx == 1,low,,
"Other specified feeding or eating disorder, atypical anorexia nervosa",ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__oth__past_dx | mh_y_ksads__ed__an__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Anorexia nervosa, restricting subtype",ed,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__restrict__partrem_dx,mh_y_ksads__ed__an__restrict__partrem_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__restrict__past_dx,mh_y_ksads__ed__an__restrict__past_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__restrict__pres_dx,mh_y_ksads__ed__an__restrict__pres_dx == 1,high,,
"Anorexia nervosa, restricting subtype",ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__an__restrict__partrem_dx | mh_y_ksads__ed__an__restrict__past_dx | mh_y_ksads__ed__an__restrict__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__oth__mindur__past_dx,mh_y_ksads__ed__binge__oth__mindur__past_dx == 1,low,,
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__oth__mindur__pres_dx,mh_y_ksads__ed__binge__oth__mindur__pres_dx == 1,low,,
"Other specified feeding or eating disorder, binge eating disorder",ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__oth__mindur__past_dx | mh_y_ksads__ed__binge__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Binge eating disorder,ed,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__partrem_dx,mh_y_ksads__ed__binge__partrem_dx == 1,high,,
Binge eating disorder,ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__past_dx,mh_y_ksads__ed__binge__past_dx == 1,high,,
Binge eating disorder,ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__pres_dx,mh_y_ksads__ed__binge__pres_dx == 1,high,,
Binge eating disorder,ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__binge__partrem_dx | mh_y_ksads__ed__binge__past_dx | mh_y_ksads__ed__binge__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__oth__mindur__past_dx,mh_y_ksads__ed__bulim__oth__mindur__past_dx == 1,low,,
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__oth__mindur__pres_dx,mh_y_ksads__ed__bulim__oth__mindur__pres_dx == 1,low,,
"Other specified feeding or eating disorder, bulimia nervosa",ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__oth__mindur__past_dx | mh_y_ksads__ed__bulim__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Bulimia nervosa,ed,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__partrem_dx,mh_y_ksads__ed__bulim__partrem_dx == 1,high,,
Bulimia nervosa,ed,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__past_dx,mh_y_ksads__ed__bulim__past_dx == 1,high,,
Bulimia nervosa,ed,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__pres_dx,mh_y_ksads__ed__bulim__pres_dx == 1,high,,
Bulimia nervosa,ed,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ed__bulim__partrem_dx | mh_y_ksads__ed__bulim__past_dx | mh_y_ksads__ed__bulim__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, generalized anxiety disorder",gad,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__oth__mindur__past_dx,mh_y_ksads__gad__oth__mindur__past_dx == 1,low,,
"Other specified anxiety disorder, generalized anxiety disorder",gad,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__oth__mindur__pres_dx,mh_y_ksads__gad__oth__mindur__pres_dx == 1,low,,
"Other specified anxiety disorder, generalized anxiety disorder",gad,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__oth__mindur__past_dx | mh_y_ksads__gad__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Generalized anxiety disorder,gad,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__past_dx,mh_y_ksads__gad__past_dx == 1,high,,
Generalized anxiety disorder,gad,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__pres_dx,mh_y_ksads__gad__pres_dx == 1,high,,
Generalized anxiety disorder,gad,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__gad__past_dx | mh_y_ksads__gad__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Other specified obessive-compulsive and related disorder,ocd,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__oth__past_dx,mh_y_ksads__ocd__oth__past_dx == 1,low,,
Other specified obessive-compulsive and related disorder,ocd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__oth__pres_dx,mh_y_ksads__ocd__oth__pres_dx == 1,low,,
Other specified obessive-compulsive and related disorder,ocd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__oth__past_dx | mh_y_ksads__ocd__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Obessive-compulsive disorder,ocd,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__past_dx,mh_y_ksads__ocd__past_dx == 1,high,,
Obessive-compulsive disorder,ocd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__pres_dx,mh_y_ksads__ocd__pres_dx == 1,high,,
Obessive-compulsive disorder,ocd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ocd__past_dx | mh_y_ksads__ocd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, panic disorder",panic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__oth__past_dx,mh_y_ksads__panic__oth__past_dx == 1,low,,
"Other specified anxiety disorder, panic disorder",panic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__oth__pres_dx,mh_y_ksads__panic__oth__pres_dx == 1,low,,
"Other specified anxiety disorder, panic disorder",panic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__oth__past_dx | mh_y_ksads__panic__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Panic disorder,panic,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__partrem_dx,mh_y_ksads__panic__partrem_dx == 1,high,,
Panic disorder,panic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__past_dx,mh_y_ksads__panic__past_dx == 1,high,,
Panic disorder,panic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__pres_dx,mh_y_ksads__panic__pres_dx == 1,high,,
Panic disorder,panic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__panic__partrem_dx | mh_y_ksads__panic__past_dx | mh_y_ksads__panic__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified trauma and stressor related disorder, PTSD",ptsd,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__oth__past_dx,mh_y_ksads__ptsd__oth__past_dx == 1,low,,
"Other specified trauma and stressor related disorder, PTSD",ptsd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__oth__pres_dx,mh_y_ksads__ptsd__oth__pres_dx == 1,low,,
"Other specified trauma and stressor related disorder, PTSD",ptsd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__oth__past_dx | mh_y_ksads__ptsd__oth__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Post-traumatic stress disorder,ptsd,youth,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__partrem_dx,mh_y_ksads__ptsd__partrem_dx == 1,high,,
Post-traumatic stress disorder,ptsd,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__past_dx,mh_y_ksads__ptsd__past_dx == 1,high,,
Post-traumatic stress disorder,ptsd,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__pres_dx,mh_y_ksads__ptsd__pres_dx == 1,high,,
Post-traumatic stress disorder,ptsd,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__ptsd__partrem_dx | mh_y_ksads__ptsd__past_dx | mh_y_ksads__ptsd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Sleep problems,sleep,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__sleep__prob__past_dx,mh_y_ksads__sleep__prob__past_dx == 1,high,,
Sleep problems,sleep,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__sleep__prob__pres_dx,mh_y_ksads__sleep__prob__pres_dx == 1,high,,
Sleep problems,sleep,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__sleep__prob__past_dx | mh_y_ksads__sleep__prob__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified anxiety disorder, social anxiety disorder",socanx,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__oth__mindur__past_dx,mh_y_ksads__socanx__oth__mindur__past_dx == 1,low,,
"Other specified anxiety disorder, social anxiety disorder",socanx,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__oth__mindur__pres_dx,mh_y_ksads__socanx__oth__mindur__pres_dx == 1,low,,
"Other specified anxiety disorder, social anxiety disorder",socanx,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__oth__mindur__past_dx | mh_y_ksads__socanx__oth__mindur__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
Social anxiety disorder,socanx,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__past_dx,mh_y_ksads__socanx__past_dx == 1,low,,
Social anxiety disorder,socanx,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__pres_dx,mh_y_ksads__socanx__pres_dx == 1,low,,
Social anxiety disorder,socanx,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__socanx__past_dx | mh_y_ksads__socanx__pres_dx,any(present/past/partial_remission _dx == 1),low,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active intent",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__int__past_dx,mh_y_ksads__suic__actv__int__past_dx == 1,medium,,
"Suicidal ideation, active intent",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__int__pres_dx,mh_y_ksads__suic__actv__int__pres_dx == 1,medium,,
"Suicidal ideation, active intent",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__int__past_dx | mh_y_ksads__suic__actv__int__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active method",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__mthd__past_dx,mh_y_ksads__suic__actv__mthd__past_dx == 1,medium,,
"Suicidal ideation, active method",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__mthd__pres_dx,mh_y_ksads__suic__actv__mthd__pres_dx == 1,medium,,
"Suicidal ideation, active method",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__mthd__past_dx | mh_y_ksads__suic__actv__mthd__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active non-specific",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__past_dx,mh_y_ksads__suic__actv__past_dx == 1,medium,,
"Suicidal ideation, active non-specific",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__pres_dx,mh_y_ksads__suic__actv__pres_dx == 1,medium,,
"Suicidal ideation, active non-specific",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__past_dx | mh_y_ksads__suic__actv__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Suicidal ideation, active plan",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__plan__past_dx,mh_y_ksads__suic__actv__plan__past_dx == 1,medium,,
"Suicidal ideation, active plan",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__plan__pres_dx,mh_y_ksads__suic__actv__plan__pres_dx == 1,medium,,
"Suicidal ideation, active plan",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__actv__plan__past_dx | mh_y_ksads__suic__actv__plan__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Aborted attempt,suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__abrt__past_dx,mh_y_ksads__suic__atmpt__abrt__past_dx == 1,medium,,
Aborted attempt,suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__abrt__pres_dx,mh_y_ksads__suic__atmpt__abrt__pres_dx == 1,medium,,
Aborted attempt,suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__abrt__past_dx | mh_y_ksads__suic__atmpt__abrt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Interrupted attempt,suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__intr__past_dx,mh_y_ksads__suic__atmpt__intr__past_dx == 1,medium,,
Interrupted attempt,suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__intr__pres_dx,mh_y_ksads__suic__atmpt__intr__pres_dx == 1,medium,,
Interrupted attempt,suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__intr__past_dx | mh_y_ksads__suic__atmpt__intr__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Suicide attempt,suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__past_dx,mh_y_ksads__suic__atmpt__past_dx == 1,medium,,
Suicide attempt,suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__pres_dx,mh_y_ksads__suic__atmpt__pres_dx == 1,medium,,
Suicide attempt,suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__atmpt__past_dx | mh_y_ksads__suic__atmpt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
Preparatory actions toward imminent suicidal behavior,suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__imnt__past_dx,mh_y_ksads__suic__imnt__past_dx == 1,medium,,
Preparatory actions toward imminent suicidal behavior,suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__imnt__pres_dx,mh_y_ksads__suic__imnt__pres_dx == 1,medium,,
Preparatory actions toward imminent suicidal behavior,suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__imnt__past_dx | mh_y_ksads__suic__imnt__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
No past suicidal ideation or behavior,suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__none__past_dx,mh_y_ksads__suic__none__past_dx == 1,reference,,
No suicidal ideation or behavior,suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__none__pres_dx,mh_y_ksads__suic__none__pres_dx == 1,reference,,
"Suicidal ideation, passive",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__pass__past_dx,mh_y_ksads__suic__pass__past_dx == 1,medium,,
"Suicidal ideation, passive",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__pass__pres_dx,mh_y_ksads__suic__pass__pres_dx == 1,medium,,
"Suicidal ideation, passive",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__pass__past_dx | mh_y_ksads__suic__pass__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Self injurious behavior, without suicidal intent",suic,youth,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__slfinj__nosi__past_dx,mh_y_ksads__suic__slfinj__nosi__past_dx == 1,medium,,
"Self injurious behavior, without suicidal intent",suic,youth,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__slfinj__nosi__pres_dx,mh_y_ksads__suic__slfinj__nosi__pres_dx == 1,medium,,
"Self injurious behavior, without suicidal intent",suic,youth,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_y_ksads__suic__slfinj__nosi__past_dx | mh_y_ksads__suic__slfinj__nosi__pres_dx,any(present/past/partial_remission _dx == 1),medium,,lifetime = ever met criteria; clinician decides whether to include partial remission
No past suicidal ideation or behavior,suic,parent,past,,,mh_p_ksads__suic__none__past_dx,REFERENCE LEVEL — NOT a case (denominator/negative),reference,,do not count as suicidality case
No suicidal ideation or behavior,suic,parent,present,,,mh_p_ksads__suic__none__pres_dx,REFERENCE LEVEL — NOT a case (denominator/negative),reference,,do not count as suicidality case
No past suicidal ideation or behavior,suic,youth,past,,,mh_y_ksads__suic__none__past_dx,REFERENCE LEVEL — NOT a case (denominator/negative),reference,,do not count as suicidality case
No suicidal ideation or behavior,suic,youth,present,,,mh_y_ksads__suic__none__pres_dx,REFERENCE LEVEL — NOT a case (denominator/negative),reference,,do not count as suicidality case
