table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-02A,1.0,8,10846,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-04A,2.0,7,9026,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-06A,2.0,12,9283,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,past,mh_y_ksads__ed__binge__oth__mindur__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-02A,1.0,9,10845,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-04A,2.0,37,8996,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-06A,2.0,23,9272,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,binge__oth__mindur,present,mh_y_ksads__ed__binge__oth__mindur__pres_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-02A,1.0,1,10853,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-03A,2.0,0,0,0,0,10301,10301,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-04A,2.0,0,0,0,0,9040,9040,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-05A,2.0,0,0,0,0,8535,8535,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-06A,2.0,0,0,0,0,9299,9299,0.0
mh_y_ksads__ed,ed,youth,binge,partial_remission,mh_y_ksads__ed__binge__partrem_dx,ses-07A,2.0,0,0,0,0,8357,8357,0.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-01A,1.0,0,0,0,11097,0,11097,0.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-02A,1.0,10,10844,0,0,1,10855,100.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-03A,2.0,0,0,0,10301,0,10301,0.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-04A,2.0,4,9029,0,0,7,9040,99.9
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-05A,2.0,0,0,0,8535,0,8535,0.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-06A,2.0,16,9279,0,0,4,9299,100.0
mh_y_ksads__ed,ed,youth,binge,past,mh_y_ksads__ed__binge__past_dx,ses-07A,2.0,0,0,0,8344,13,8357,0.0
mh_y_ksads__ed,ed,youth,binge,present,mh_y_ksads__ed__binge__pres_dx,ses-00A,1.0,0,0,0,11775,1,11776,0.0
