disorder,module,informant,status,merged_var,proposed_case_definition
"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",bpd,youth,unknown,mh_y_ksads__bpd__bpd2__oth__nomdd_dx,mh_y_ksads__bpd__bpd2__oth__nomdd_dx == 1
"Bipolar II disorder, most recent episode hypomanic",bpd,youth,present,mh_y_ksads__bpd__bpd2__rcnt__hypo__pres_dx,mh_y_ksads__bpd__bpd2__rcnt__hypo__pres_dx == 1
"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",bpd,youth,present,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx == 1
"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",bpd,youth,unknown,mh_y_ksads__bpd__oth__mindur_dx,mh_y_ksads__bpd__oth__mindur_dx == 1
Unspecified bipolar and related disorder,bpd,youth,past,mh_y_ksads__bpd__unspec__past_dx,mh_y_ksads__bpd__unspec__past_dx == 1
Unspecified bipolar and related disorder,bpd,youth,present,mh_y_ksads__bpd__unspec__pres_dx,mh_y_ksads__bpd__unspec__pres_dx == 1
Unspecified bipolar and related disorder,bpd,youth,lifetime_union,mh_y_ksads__bpd__unspec__past_dx | mh_y_ksads__bpd__unspec__pres_dx,any(present/past/partial_remission _dx == 1)
"Conduct disorder, adolescent onset",cond,youth,past,mh_y_ksads__cond__onset__adoles__past_dx,mh_y_ksads__cond__onset__adoles__past_dx == 1
"Conduct disorder, adolescent onset",cond,youth,present,mh_y_ksads__cond__onset__adoles__pres_dx,mh_y_ksads__cond__onset__adoles__pres_dx == 1
"Conduct disorder, adolescent onset",cond,youth,lifetime_union,mh_y_ksads__cond__onset__adoles__past_dx | mh_y_ksads__cond__onset__adoles__pres_dx,any(present/past/partial_remission _dx == 1)
"Conduct disorder, childhood onset",cond,youth,past,mh_y_ksads__cond__onset__chld__past_dx,mh_y_ksads__cond__onset__chld__past_dx == 1
"Conduct disorder, childhood onset",cond,youth,present,mh_y_ksads__cond__onset__chld__pres_dx,mh_y_ksads__cond__onset__chld__pres_dx == 1
"Conduct disorder, childhood onset",cond,youth,lifetime_union,mh_y_ksads__cond__onset__chld__past_dx | mh_y_ksads__cond__onset__chld__pres_dx,any(present/past/partial_remission _dx == 1)
Major depressive disorder,dep,youth,partial_remission,mh_y_ksads__dep__mdd__partrem_dx,mh_y_ksads__dep__mdd__partrem_dx == 1
Major depressive disorder,dep,youth,past,mh_y_ksads__dep__mdd__past_dx,mh_y_ksads__dep__mdd__past_dx == 1
Major depressive disorder,dep,youth,present,mh_y_ksads__dep__mdd__pres_dx,mh_y_ksads__dep__mdd__pres_dx == 1
Major depressive disorder,dep,youth,lifetime_union,mh_y_ksads__dep__mdd__partrem_dx | mh_y_ksads__dep__mdd__past_dx | mh_y_ksads__dep__mdd__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified depressive disorder, persistent depressive disorder",dep,youth,present,mh_y_ksads__dep__pdd__oth__pres_dx,mh_y_ksads__dep__pdd__oth__pres_dx == 1
Persistent depressive disorder,dep,youth,partial_remission,mh_y_ksads__dep__pdd__partrem_dx,mh_y_ksads__dep__pdd__partrem_dx == 1
Persistent depressive disorder,dep,youth,past,mh_y_ksads__dep__pdd__past_dx,mh_y_ksads__dep__pdd__past_dx == 1
Persistent depressive disorder,dep,youth,present,mh_y_ksads__dep__pdd__pres_dx,mh_y_ksads__dep__pdd__pres_dx == 1
Persistent depressive disorder,dep,youth,lifetime_union,mh_y_ksads__dep__pdd__partrem_dx | mh_y_ksads__dep__pdd__past_dx | mh_y_ksads__dep__pdd__pres_dx,any(present/past/partial_remission _dx == 1)
Unspecified depressive disorder,dep,youth,past,mh_y_ksads__dep__unspec__past_dx,mh_y_ksads__dep__unspec__past_dx == 1
Unspecified depressive disorder,dep,youth,present,mh_y_ksads__dep__unspec__pres_dx,mh_y_ksads__dep__unspec__pres_dx == 1
Unspecified depressive disorder,dep,youth,lifetime_union,mh_y_ksads__dep__unspec__past_dx | mh_y_ksads__dep__unspec__pres_dx,any(present/past/partial_remission _dx == 1)
